Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	32,	0.000013079,	0.000137435,	4096
diagnostic: single kernel with grid and block size = x,	32,	0.000012376,	0.000133634,	8192
diagnostic: single kernel with grid and block size = x,	32,	0.000014241,	0.000145852,	16384
diagnostic: single kernel with grid and block size = x,	32,	0.000013766,	0.000124967,	32768
diagnostic: single kernel with grid and block size = x,	32,	0.000012181,	0.000118527,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	64,	0.000009473,	0.000003913,	2
diagnostic: single kernel with grid and block size = x,	64,	0.000003958,	0.000001283,	4
diagnostic: single kernel with grid and block size = x,	64,	0.000003503,	0.000000676,	8
diagnostic: single kernel with grid and block size = x,	64,	0.000003919,	0.000000730,	16
diagnostic: single kernel with grid and block size = x,	64,	0.000004011,	0.000000714,	32
diagnostic: single kernel with grid and block size = x,	64,	0.000003548,	0.000000623,	64
diagnostic: single kernel with grid and block size = x,	64,	0.000004092,	0.000001706,	128
diagnostic: single kernel with grid and block size = x,	64,	0.000003732,	0.000000811,	256
diagnostic: single kernel with grid and block size = x,	64,	0.000003266,	0.000000562,	512
diagnostic: single kernel with grid and block size = x,	64,	0.000005350,	0.000063109,	1024
diagnostic: single kernel with grid and block size = x,	64,	0.000006812,	0.000077260,	2048
diagnostic: single kernel with grid and block size = x,	64,	0.000006053,	0.000070679,	4096
diagnostic: single kernel with grid and block size = x,	64,	0.000006210,	0.000074093,	8192
diagnostic: single kernel with grid and block size = x,	64,	0.000006036,	0.000070707,	16384
diagnostic: single kernel with grid and block size = x,	64,	0.000005976,	0.000070087,	32768
diagnostic: single kernel with grid and block size = x,	64,	0.000006113,	0.000072419,	65536
diagnostic: single kernel with grid and block size = x,	64,	0.000006814,	0.000080715,	131072
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	128,	0.000008265,	0.000004358,	2
diagnostic: single kernel with grid and block size = x,	128,	0.000004072,	0.000001158,	4
diagnostic: single kernel with grid and block size = x,	128,	0.000003266,	0.000000376,	8
diagnostic: single kernel with grid and block size = x,	128,	0.000004200,	0.000000621,	16
diagnostic: single kernel with grid and block size = x,	128,	0.000003436,	0.000000593,	32
diagnostic: single kernel with grid and block size = x,	128,	0.000003778,	0.000000633,	64
diagnostic: single kernel with grid and block size = x,	128,	0.000003692,	0.000000704,	128
diagnostic: single kernel with grid and block size = x,	128,	0.000003891,	0.000000890,	256
diagnostic: single kernel with grid and block size = x,	128,	0.000003302,	0.000000362,	512
diagnostic: single kernel with grid and block size = x,	128,	0.000005405,	0.000063168,	1024
diagnostic: single kernel with grid and block size = x,	128,	0.000005483,	0.000062996,	2048
diagnostic: single kernel with grid and block size = x,	128,	0.000006031,	0.000070772,	4096
diagnostic: single kernel with grid and block size = x,	128,	0.000005719,	0.000067098,	8192
diagnostic: single kernel with grid and block size = x,	128,	0.000005959,	0.000070532,	16384
diagnostic: single kernel with grid and block size = x,	128,	0.000005776,	0.000067920,	32768
diagnostic: single kernel with grid and block size = x,	128,	0.000011281,	0.000122654,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	256,	0.000010295,	0.000004544,	2
diagnostic: single kernel with grid and block size = x,	256,	0.000004138,	0.000001298,	4
diagnostic: single kernel with grid and block size = x,	256,	0.000003383,	0.000000581,	8
diagnostic: single kernel with grid and block size = x,	256,	0.000004127,	0.000000720,	16
diagnostic: single kernel with grid and block size = x,	256,	0.000003944,	0.000000671,	32
diagnostic: single kernel with grid and block size = x,	256,	0.000004704,	0.000001776,	64
diagnostic: single kernel with grid and block size = x,	256,	0.000004623,	0.000001915,	128
diagnostic: single kernel with grid and block size = x,	256,	0.000003868,	0.000000795,	256
diagnostic: single kernel with grid and block size = x,	256,	0.000003351,	0.000000463,	512
diagnostic: single kernel with grid and block size = x,	256,	0.000007396,	0.000090206,	1024
diagnostic: single kernel with grid and block size = x,	256,	0.000007176,	0.000081167,	2048
diagnostic: single kernel with grid and block size = x,	256,	0.000006751,	0.000079454,	4096
diagnostic: single kernel with grid and block size = x,	256,	0.000006759,	0.000080613,	8192
diagnostic: single kernel with grid and block size = x,	256,	0.000006509,	0.000077419,	16384
diagnostic: single kernel with grid and block size = x,	256,	0.000006770,	0.000079495,	32768
diagnostic: single kernel with grid and block size = x,	256,	0.000006524,	0.000077948,	65536
diagnostic: single kernel with grid and block size = x,	256,	0.000006321,	0.000074943,	131072
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	512,	0.000012048,	0.000007379,	2
diagnostic: single kernel with grid and block size = x,	512,	0.000004479,	0.000001385,	4
diagnostic: single kernel with grid and block size = x,	512,	0.000003220,	0.000000435,	8
diagnostic: single kernel with grid and block size = x,	512,	0.000003751,	0.000000678,	16
diagnostic: single kernel with grid and block size = x,	512,	0.000003345,	0.000000505,	32
diagnostic: single kernel with grid and block size = x,	512,	0.000003397,	0.000000535,	64
diagnostic: single kernel with grid and block size = x,	512,	0.000003380,	0.000001312,	128
diagnostic: single kernel with grid and block size = x,	512,	0.000003260,	0.000000392,	256
diagnostic: single kernel with grid and block size = x,	512,	0.000011437,	0.000125907,	512
diagnostic: single kernel with grid and block size = x,	512,	0.000011670,	0.000125943,	1024
diagnostic: single kernel with grid and block size = x,	512,	0.000014258,	0.000142765,	2048
diagnostic: single kernel with grid and block size = x,	512,	0.000014323,	0.000143538,	4096
diagnostic: single kernel with grid and block size = x,	512,	0.000013017,	0.000137238,	8192
diagnostic: single kernel with grid and block size = x,	512,	0.000013017,	0.000102035,	16384
diagnostic: single kernel with grid and block size = x,	512,	0.000016674,	0.000073230,	32768
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: single kernel with grid and block size = x,	1024,	0.000038784,	0.000030939,	2
diagnostic: single kernel with grid and block size = x,	1024,	0.000005272,	0.000001764,	4
diagnostic: single kernel with grid and block size = x,	1024,	0.000004086,	0.000000881,	8
diagnostic: single kernel with grid and block size = x,	1024,	0.000003465,	0.000000498,	16
diagnostic: single kernel with grid and block size = x,	1024,	0.000003746,	0.000000663,	32
diagnostic: single kernel with grid and block size = x,	1024,	0.000003428,	0.000000594,	64
diagnostic: single kernel with grid and block size = x,	1024,	0.000003494,	0.000000628,	128
diagnostic: single kernel with grid and block size = x,	1024,	0.000003200,	0.000000376,	256
diagnostic: single kernel with grid and block size = x,	1024,	0.000010753,	0.000117825,	512
diagnostic: single kernel with grid and block size = x,	1024,	0.000015009,	0.000146789,	1024
diagnostic: single kernel with grid and block size = x,	1024,	0.000015446,	0.000147923,	2048
diagnostic: single kernel with grid and block size = x,	1024,	0.000014892,	0.000150997,	4096
diagnostic: single kernel with grid and block size = x,	1024,	0.000015131,	0.000151057,	8192
diagnostic: single kernel with grid and block size = x,	1024,	0.000015181,	0.000151773,	16384
diagnostic: single kernel with grid and block size = x,	1024,	0.000010628,	0.000117230,	32768
diagnostic: single kernel with grid and block size = x,	1024,	0.000009526,	0.000107318,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	2,	0.000565232,	0.000145466,	2
diagnostic: cudaMalloc x floats,	2,	0.000442325,	0.000017464,	4
diagnostic: cudaMalloc x floats,	2,	0.000340515,	0.000040704,	8
diagnostic: cudaMalloc x floats,	2,	0.000351441,	0.000049368,	16
diagnostic: cudaMalloc x floats,	2,	0.000319052,	0.000021075,	32
diagnostic: cudaMalloc x floats,	2,	0.000388404,	0.000498757,	64
diagnostic: cudaMalloc x floats,	2,	0.000355378,	0.000045598,	128
diagnostic: cudaMalloc x floats,	2,	0.000365538,	0.000240062,	256
diagnostic: cudaMalloc x floats,	2,	0.000370799,	0.000191737,	512
diagnostic: cudaMalloc x floats,	2,	0.000343175,	0.000064873,	1024
diagnostic: cudaMalloc x floats,	2,	0.000345093,	0.000048459,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	4,	0.000455840,	0.000104393,	2
diagnostic: cudaMalloc x floats,	4,	0.000313392,	0.000004630,	4
diagnostic: cudaMalloc x floats,	4,	0.000330062,	0.000028987,	8
diagnostic: cudaMalloc x floats,	4,	0.000323818,	0.000014222,	16
diagnostic: cudaMalloc x floats,	4,	0.000321263,	0.000022464,	32
diagnostic: cudaMalloc x floats,	4,	0.000329480,	0.000013942,	64
diagnostic: cudaMalloc x floats,	4,	0.000359373,	0.000044047,	128
diagnostic: cudaMalloc x floats,	4,	0.000363253,	0.000038282,	256
diagnostic: cudaMalloc x floats,	4,	0.000346900,	0.000051887,	512
diagnostic: cudaMalloc x floats,	4,	0.000357868,	0.000039165,	1024
diagnostic: cudaMalloc x floats,	4,	0.000340719,	0.000040493,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	8,	0.000547011,	0.000142473,	2
diagnostic: cudaMalloc x floats,	8,	0.000359193,	0.000026369,	4
diagnostic: cudaMalloc x floats,	8,	0.000389068,	0.000014430,	8
diagnostic: cudaMalloc x floats,	8,	0.000357180,	0.000033156,	16
diagnostic: cudaMalloc x floats,	8,	0.000359669,	0.000038409,	32
diagnostic: cudaMalloc x floats,	8,	0.000348233,	0.000027099,	64
diagnostic: cudaMalloc x floats,	8,	0.000372280,	0.000230585,	128
diagnostic: cudaMalloc x floats,	8,	0.000364924,	0.000099914,	256
diagnostic: cudaMalloc x floats,	8,	0.000360786,	0.000078877,	512
diagnostic: cudaMalloc x floats,	8,	0.000364046,	0.000048680,	1024
diagnostic: cudaMalloc x floats,	8,	0.000338789,	0.000034168,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	16,	0.000507559,	0.000083954,	2
diagnostic: cudaMalloc x floats,	16,	0.000346948,	0.000026270,	4
diagnostic: cudaMalloc x floats,	16,	0.000348320,	0.000008192,	8
diagnostic: cudaMalloc x floats,	16,	0.000348499,	0.000015181,	16
diagnostic: cudaMalloc x floats,	16,	0.000347127,	0.000022272,	32
diagnostic: cudaMalloc x floats,	16,	0.000352007,	0.000046364,	64
diagnostic: cudaMalloc x floats,	16,	0.000356648,	0.000041268,	128
diagnostic: cudaMalloc x floats,	16,	0.000349101,	0.000028694,	256
diagnostic: cudaMalloc x floats,	16,	0.000356430,	0.000039684,	512
diagnostic: cudaMalloc x floats,	16,	0.000354490,	0.000034243,	1024
diagnostic: cudaMalloc x floats,	16,	0.000366301,	0.000050496,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	32,	0.000507373,	0.000102234,	2
diagnostic: cudaMalloc x floats,	32,	0.000375228,	0.000032807,	4
diagnostic: cudaMalloc x floats,	32,	0.000369864,	0.000061611,	8
diagnostic: cudaMalloc x floats,	32,	0.000341838,	0.000022702,	16
diagnostic: cudaMalloc x floats,	32,	0.000335371,	0.000009090,	32
diagnostic: cudaMalloc x floats,	32,	0.000343209,	0.000025471,	64
diagnostic: cudaMalloc x floats,	32,	0.000371106,	0.000129651,	128
diagnostic: cudaMalloc x floats,	32,	0.000373359,	0.000111754,	256
diagnostic: cudaMalloc x floats,	32,	0.000359998,	0.000068800,	512
diagnostic: cudaMalloc x floats,	32,	0.000361912,	0.000037895,	1024
diagnostic: cudaMalloc x floats,	32,	0.000358268,	0.000061849,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	64,	0.000493885,	0.000082254,	2
diagnostic: cudaMalloc x floats,	64,	0.000359287,	0.000010839,	4
diagnostic: cudaMalloc x floats,	64,	0.000352134,	0.000036797,	8
diagnostic: cudaMalloc x floats,	64,	0.000397279,	0.000119361,	16
diagnostic: cudaMalloc x floats,	64,	0.000350222,	0.000017103,	32
diagnostic: cudaMalloc x floats,	64,	0.000344339,	0.000024184,	64
diagnostic: cudaMalloc x floats,	64,	0.000345364,	0.000018554,	128
diagnostic: cudaMalloc x floats,	64,	0.000350953,	0.000026661,	256
diagnostic: cudaMalloc x floats,	64,	0.000355079,	0.000038780,	512
diagnostic: cudaMalloc x floats,	64,	0.000362111,	0.000049315,	1024
diagnostic: cudaMalloc x floats,	64,	0.000355317,	0.000043160,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	128,	0.000561527,	0.000041206,	2
diagnostic: cudaMalloc x floats,	128,	0.000366938,	0.000012763,	4
diagnostic: cudaMalloc x floats,	128,	0.000346115,	0.000026373,	8
diagnostic: cudaMalloc x floats,	128,	0.000346079,	0.000030106,	16
diagnostic: cudaMalloc x floats,	128,	0.000339885,	0.000020725,	32
diagnostic: cudaMalloc x floats,	128,	0.000339417,	0.000027596,	64
diagnostic: cudaMalloc x floats,	128,	0.000358030,	0.000032452,	128
diagnostic: cudaMalloc x floats,	128,	0.000399181,	0.000167015,	256
diagnostic: cudaMalloc x floats,	128,	0.000367363,	0.000096820,	512
diagnostic: cudaMalloc x floats,	128,	0.000356186,	0.000035683,	1024
diagnostic: cudaMalloc x floats,	128,	0.000353879,	0.000038117,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	256,	0.000494513,	0.000104123,	2
diagnostic: cudaMalloc x floats,	256,	0.000352376,	0.000015807,	4
diagnostic: cudaMalloc x floats,	256,	0.000343752,	0.000005587,	8
diagnostic: cudaMalloc x floats,	256,	0.000347331,	0.000026663,	16
diagnostic: cudaMalloc x floats,	256,	0.000337320,	0.000018276,	32
diagnostic: cudaMalloc x floats,	256,	0.000345111,	0.000026174,	64
diagnostic: cudaMalloc x floats,	256,	0.000358438,	0.000049338,	128
diagnostic: cudaMalloc x floats,	256,	0.000359915,	0.000046103,	256
diagnostic: cudaMalloc x floats,	256,	0.000359080,	0.000041097,	512
diagnostic: cudaMalloc x floats,	256,	0.000373304,	0.000051983,	1024
diagnostic: cudaMalloc x floats,	256,	0.000359284,	0.000041157,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	512,	0.000574676,	0.000126345,	2
diagnostic: cudaMalloc x floats,	512,	0.000367142,	0.000012291,	4
diagnostic: cudaMalloc x floats,	512,	0.000367014,	0.000024576,	8
diagnostic: cudaMalloc x floats,	512,	0.000379229,	0.000037523,	16
diagnostic: cudaMalloc x floats,	512,	0.000469742,	0.000495287,	32
diagnostic: cudaMalloc x floats,	512,	0.000365231,	0.000039223,	64
diagnostic: cudaMalloc x floats,	512,	0.000364746,	0.000036250,	128
diagnostic: cudaMalloc x floats,	512,	0.000362506,	0.000123654,	256
diagnostic: cudaMalloc x floats,	512,	0.000357002,	0.000079548,	512
diagnostic: cudaMalloc x floats,	512,	0.000354039,	0.000038174,	1024
diagnostic: cudaMalloc x floats,	512,	0.000367572,	0.000047598,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc x floats,	1024,	0.000747519,	0.000205771,	2
diagnostic: cudaMalloc x floats,	1024,	0.000437798,	0.000007983,	4
diagnostic: cudaMalloc x floats,	1024,	0.000432774,	0.000012671,	8
diagnostic: cudaMalloc x floats,	1024,	0.000436494,	0.000022488,	16
diagnostic: cudaMalloc x floats,	1024,	0.000442568,	0.000029109,	32
diagnostic: cudaMalloc x floats,	1024,	0.000434425,	0.000019567,	64
diagnostic: cudaMalloc x floats,	1024,	0.000440631,	0.000027530,	128
diagnostic: cudaMalloc x floats,	1024,	0.000437029,	0.000027775,	256
diagnostic: cudaMalloc x floats,	1024,	0.000445572,	0.000044632,	512
diagnostic: cudaMalloc x floats,	1024,	0.000444039,	0.000034646,	1024
diagnostic: cudaMalloc x floats,	1024,	0.000454123,	0.000046473,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000672136,	0.000106131,	2
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000517733,	0.000004536,	4
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000517105,	0.000033785,	8
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000509965,	0.000024446,	16
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000501503,	0.000018010,	32
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000510915,	0.000022078,	64
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000518218,	0.000097085,	128
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000527122,	0.000045377,	256
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000522430,	0.000046075,	512
diagnostic: cudaMalloc & cudaMemcpy x floats,	2,	0.000552137,	0.000043454,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000722506,	0.000125974,	2
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000515902,	0.000019319,	4
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000529648,	0.000045911,	8
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000528456,	0.000090581,	16
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000503780,	0.000020333,	32
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000513799,	0.000027296,	64
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000550727,	0.000054212,	128
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000549593,	0.000047478,	256
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000541633,	0.000038863,	512
diagnostic: cudaMalloc & cudaMemcpy x floats,	4,	0.000522431,	0.000042631,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000663499,	0.000118094,	2
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000558550,	0.000036452,	4
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000513980,	0.000010969,	8
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000577777,	0.000125839,	16
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000534263,	0.000028229,	32
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000524790,	0.000023784,	64
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000559473,	0.000298187,	128
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000547313,	0.000202606,	256
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000538233,	0.000126782,	512
diagnostic: cudaMalloc & cudaMemcpy x floats,	8,	0.000549838,	0.000056579,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000717557,	0.000108831,	2
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000560978,	0.000032856,	4
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000505814,	0.000010673,	8
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000544994,	0.000033497,	16
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000523790,	0.000037122,	32
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000546670,	0.000066802,	64
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000529941,	0.000035966,	128
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000533733,	0.000049091,	256
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000553585,	0.000062342,	512
diagnostic: cudaMalloc & cudaMemcpy x floats,	16,	0.000549012,	0.000040860,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000661451,	0.000120413,	2
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000528976,	0.000019268,	4
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000517143,	0.000033270,	8
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000517953,	0.000039563,	16
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000522881,	0.000042836,	32
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000522196,	0.000030022,	64
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000536867,	0.000056133,	128
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000534896,	0.000045463,	256
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000572527,	0.000056523,	512
diagnostic: cudaMalloc & cudaMemcpy x floats,	32,	0.000542340,	0.000103424,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
diagnostic: cudaMalloc & cudaMemcpy x floats,	64,	0.000752753,	0.000064578,	2
diagnostic: cudaMalloc & cudaMemcpy x floats,	64,	0.000579778,	0.000035620,	4
diagnostic: cudaMalloc & cudaMemcpy x floats,	64,	0.000516198,	0.000011293,	8
diagnostic: cudaMalloc & cudaMemcpy x floats,	64,	0.000635210,	0.000309271,	16
diagnostic: cudaMalloc & cudaMemcpy x floats,	64,	0.000540199,	0.000036625,	32
