Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	32,	0.000002060,	0.000000376,	4096
M3: addition cpu,	32,	0.000002150,	0.000000249,	8192
M3: addition cpu,	32,	0.000002169,	0.000000332,	16384
M3: addition cpu,	32,	0.000002159,	0.000000246,	32768
M3: addition cpu,	32,	0.000002166,	0.000000223,	65536
M3: addition cpu,	32,	0.000002167,	0.000000350,	131072
M3: addition cpu,	32,	0.000002171,	0.000000228,	262144
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	64,	0.000012083,	0.000002054,	2
M3: addition cpu,	64,	0.000009899,	0.000000037,	4
M3: addition cpu,	64,	0.000009910,	0.000000067,	8
M3: addition cpu,	64,	0.000009901,	0.000000070,	16
M3: addition cpu,	64,	0.000010279,	0.000002189,	32
M3: addition cpu,	64,	0.000009835,	0.000000052,	64
M3: addition cpu,	64,	0.000009687,	0.000000114,	128
M3: addition cpu,	64,	0.000009820,	0.000000637,	256
M3: addition cpu,	64,	0.000009951,	0.000000985,	512
M3: addition cpu,	64,	0.000010165,	0.000000831,	1024
M3: addition cpu,	64,	0.000010447,	0.000000891,	2048
M3: addition cpu,	64,	0.000010413,	0.000000374,	4096
M3: addition cpu,	64,	0.000010463,	0.000000502,	8192
M3: addition cpu,	64,	0.000010476,	0.000000554,	16384
M3: addition cpu,	64,	0.000010465,	0.000000597,	32768
M3: addition cpu,	64,	0.000010466,	0.000000600,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	128,	0.000038073,	0.000005771,	2
M3: addition cpu,	128,	0.000032182,	0.000000060,	4
M3: addition cpu,	128,	0.000032165,	0.000000053,	8
M3: addition cpu,	128,	0.000033013,	0.000000465,	16
M3: addition cpu,	128,	0.000032306,	0.000000403,	32
M3: addition cpu,	128,	0.000033028,	0.000002353,	64
M3: addition cpu,	128,	0.000032618,	0.000000899,	128
M3: addition cpu,	128,	0.000033763,	0.000001955,	256
M3: addition cpu,	128,	0.000034888,	0.000002214,	512
M3: addition cpu,	128,	0.000035280,	0.000001722,	1024
M3: addition cpu,	128,	0.000036260,	0.000001201,	2048
M3: addition cpu,	128,	0.000036151,	0.000001413,	4096
M3: addition cpu,	128,	0.000036080,	0.000001660,	8192
M3: addition cpu,	128,	0.000035975,	0.000001476,	16384
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M3: addition cpu,	256,	0.000155863,	0.000022437,	2
M3: addition cpu,	256,	0.000132140,	0.000001696,	4
M3: addition cpu,	256,	0.000133716,	0.000003954,	8
M3: addition cpu,	256,	0.000134570,	0.000003789,	16
M3: addition cpu,	256,	0.000136077,	0.000001958,	32
M3: addition cpu,	256,	0.000139374,	0.000004138,	64
M3: addition cpu,	256,	0.000143041,	0.000004275,	128
