Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	512,	0.014062758,	0.000600577,	2
multiplication gpu multi core unwrapping i,	512,	0.013559656,	0.000126279,	4
multiplication gpu multi core unwrapping i,	512,	0.013454612,	0.000078290,	8
multiplication gpu multi core unwrapping i,	512,	0.013380312,	0.000125250,	16
multiplication gpu multi core unwrapping i,	512,	0.013579481,	0.000255907,	32
multiplication gpu multi core unwrapping i,	512,	0.013582605,	0.000541209,	64
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	1024,	0.090396290,	0.000706002,	2
multiplication gpu multi core unwrapping i,	1024,	0.089239491,	0.000589947,	4
multiplication gpu multi core unwrapping i,	1024,	0.089738959,	0.001145128,	8
