Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	32,	0.000098561,	0.000005763,	4096
multiplication cpu,	32,	0.000100618,	0.000007237,	8192
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	64,	0.000795680,	0.000004248,	2
multiplication cpu,	64,	0.000782590,	0.000003527,	4
multiplication cpu,	64,	0.000788452,	0.000013888,	8
multiplication cpu,	64,	0.000784054,	0.000007458,	16
multiplication cpu,	64,	0.000804359,	0.000062275,	32
multiplication cpu,	64,	0.000779225,	0.000013673,	64
multiplication cpu,	64,	0.000777537,	0.000029732,	128
multiplication cpu,	64,	0.000772368,	0.000028621,	256
multiplication cpu,	64,	0.000774087,	0.000027516,	512
multiplication cpu,	64,	0.000778046,	0.000028464,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	128,	0.006454557,	0.000018374,	2
multiplication cpu,	128,	0.006415624,	0.000041261,	4
multiplication cpu,	128,	0.006341922,	0.000111804,	8
multiplication cpu,	128,	0.006344039,	0.000159155,	16
multiplication cpu,	128,	0.006437084,	0.000113419,	32
multiplication cpu,	128,	0.006412039,	0.000129700,	64
multiplication cpu,	128,	0.006376482,	0.000158560,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	256,	0.050381075,	0.000489534,	2
multiplication cpu,	256,	0.050542093,	0.000725036,	4
multiplication cpu,	256,	0.050709304,	0.000324683,	8
multiplication cpu,	256,	0.050587827,	0.000609541,	16
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	512,	0.406908708,	0.000838551,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	1024,	3.664866321,	0.011237497,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	2048,	32.031464506,	0.018325187,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication cpu,	4096,	310.534392425,	0.396531501,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	2,	0.000938230,	0.000331017,	2
multiplication gpu multi core unwrapping i,	2,	0.000582363,	0.000027800,	4
multiplication gpu multi core unwrapping i,	2,	0.000565005,	0.000009559,	8
multiplication gpu multi core unwrapping i,	2,	0.000584273,	0.000037425,	16
multiplication gpu multi core unwrapping i,	2,	0.000572496,	0.000034818,	32
multiplication gpu multi core unwrapping i,	2,	0.000600446,	0.000093852,	64
multiplication gpu multi core unwrapping i,	2,	0.000653309,	0.000072380,	128
multiplication gpu multi core unwrapping i,	2,	0.000636740,	0.000072245,	256
multiplication gpu multi core unwrapping i,	2,	0.000588848,	0.000049125,	512
multiplication gpu multi core unwrapping i,	2,	0.000591560,	0.000057603,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	4,	0.000925832,	0.000309222,	2
multiplication gpu multi core unwrapping i,	4,	0.000637638,	0.000016384,	4
multiplication gpu multi core unwrapping i,	4,	0.000581314,	0.000019649,	8
multiplication gpu multi core unwrapping i,	4,	0.000585578,	0.000026130,	16
multiplication gpu multi core unwrapping i,	4,	0.000585427,	0.000033147,	32
multiplication gpu multi core unwrapping i,	4,	0.000601900,	0.000091953,	64
multiplication gpu multi core unwrapping i,	4,	0.000574323,	0.000023958,	128
multiplication gpu multi core unwrapping i,	4,	0.000591585,	0.000080827,	256
multiplication gpu multi core unwrapping i,	4,	0.000665957,	0.000531496,	512
multiplication gpu multi core unwrapping i,	4,	0.000653710,	0.000118454,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	8,	0.000932179,	0.000297435,	2
multiplication gpu multi core unwrapping i,	8,	0.000587760,	0.000015676,	4
multiplication gpu multi core unwrapping i,	8,	0.000571914,	0.000005910,	8
multiplication gpu multi core unwrapping i,	8,	0.000571958,	0.000028988,	16
multiplication gpu multi core unwrapping i,	8,	0.000576800,	0.000047187,	32
multiplication gpu multi core unwrapping i,	8,	0.000591394,	0.000039160,	64
multiplication gpu multi core unwrapping i,	8,	0.000576241,	0.000042508,	128
multiplication gpu multi core unwrapping i,	8,	0.000582716,	0.000049234,	256
multiplication gpu multi core unwrapping i,	8,	0.000580208,	0.000045185,	512
multiplication gpu multi core unwrapping i,	8,	0.000577687,	0.000046768,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i,	16,	0.000989623,	0.000302459,	2
multiplication gpu multi core unwrapping i,	16,	0.000687982,	0.000039546,	4
multiplication gpu multi core unwrapping i,	16,	0.000630639,	0.000079331,	8
multiplication gpu multi core unwrapping i,	16,	0.000634092,	0.000043925,	16
multiplication gpu multi core unwrapping i,	16,	0.000607706,	0.000031782,	32
multiplication gpu multi core unwrapping i,	16,	0.000648847,	0.000069507,	64
multiplication gpu multi core unwrapping i,	16,	0.000607780,	0.000057273,	128
multiplication gpu multi core unwrapping i,	16,	0.000617760,	0.000080111,	256
multiplication gpu multi core unwrapping i,	16,	0.000598541,	0.000174156,	512
