Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i and j,	256,	0.000893985,	0.000063200,	64
multiplication gpu multi core unwrapping i and j,	256,	0.000883688,	0.000305150,	128
multiplication gpu multi core unwrapping i and j,	256,	0.000876568,	0.000197203,	256
multiplication gpu multi core unwrapping i and j,	256,	0.000855420,	0.000045266,	512
multiplication gpu multi core unwrapping i and j,	256,	0.000851020,	0.000038412,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i and j,	512,	0.002619583,	0.000285801,	2
multiplication gpu multi core unwrapping i and j,	512,	0.002586049,	0.000259271,	4
multiplication gpu multi core unwrapping i and j,	512,	0.002232942,	0.000051192,	8
multiplication gpu multi core unwrapping i and j,	512,	0.002131560,	0.000066026,	16
multiplication gpu multi core unwrapping i and j,	512,	0.002273513,	0.000141340,	32
multiplication gpu multi core unwrapping i and j,	512,	0.002107540,	0.000123838,	64
multiplication gpu multi core unwrapping i and j,	512,	0.002004814,	0.000095923,	128
multiplication gpu multi core unwrapping i and j,	512,	0.002087875,	0.000099557,	256
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
multiplication gpu multi core unwrapping i and j,	1024,	0.007999700,	0.000751737,	2
multiplication gpu multi core unwrapping i and j,	1024,	0.007077109,	0.000018426,	4
multiplication gpu multi core unwrapping i and j,	1024,	0.007172044,	0.000074067,	8
multiplication gpu multi core unwrapping i and j,	1024,	0.007177437,	0.000074851,	16
multiplication gpu multi core unwrapping i and j,	1024,	0.007176575,	0.000116048,	32
multiplication gpu multi core unwrapping i and j,	1024,	0.007252945,	0.000213210,	64
multiplication gpu multi core unwrapping i and j,	1024,	0.007202735,	0.000135568,	128
