Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	64,	0.000008975,	0.000000040,	32
addition cpu,	64,	0.000009311,	0.000001903,	64
addition cpu,	64,	0.000009086,	0.000000797,	128
addition cpu,	64,	0.000008938,	0.000000077,	256
addition cpu,	64,	0.000009496,	0.000001983,	512
addition cpu,	64,	0.000009055,	0.000001137,	1024
addition cpu,	64,	0.000008988,	0.000000887,	2048
addition cpu,	64,	0.000009059,	0.000001783,	4096
addition cpu,	64,	0.000008847,	0.000000861,	8192
addition cpu,	64,	0.000008973,	0.000001465,	16384
addition cpu,	64,	0.000008915,	0.000001124,	32768
addition cpu,	64,	0.000009098,	0.000001639,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	128,	0.000040682,	0.000007008,	2
addition cpu,	128,	0.000034641,	0.000000229,	4
addition cpu,	128,	0.000035668,	0.000003131,	8
addition cpu,	128,	0.000035395,	0.000001483,	16
addition cpu,	128,	0.000036213,	0.000003453,	32
addition cpu,	128,	0.000035870,	0.000000101,	64
addition cpu,	128,	0.000039150,	0.000008730,	128
addition cpu,	128,	0.000036478,	0.000005005,	256
addition cpu,	128,	0.000035282,	0.000003153,	512
addition cpu,	128,	0.000034842,	0.000001295,	1024
addition cpu,	128,	0.000035373,	0.000003502,	2048
addition cpu,	128,	0.000034838,	0.000002413,	4096
addition cpu,	128,	0.000034952,	0.000002882,	8192
addition cpu,	128,	0.000035349,	0.000003135,	16384
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	256,	0.000170353,	0.000025959,	2
addition cpu,	256,	0.000142746,	0.000003689,	4
addition cpu,	256,	0.000138598,	0.000001361,	8
addition cpu,	256,	0.000137939,	0.000000758,	16
addition cpu,	256,	0.000141092,	0.000004382,	32
addition cpu,	256,	0.000142772,	0.000011977,	64
addition cpu,	256,	0.000138949,	0.000004978,	128
addition cpu,	256,	0.000138915,	0.000004766,	256
addition cpu,	256,	0.000141052,	0.000008179,	512
addition cpu,	256,	0.000141399,	0.000006216,	1024
addition cpu,	256,	0.000141253,	0.000006764,	2048
addition cpu,	256,	0.000141427,	0.000008104,	4096
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	512,	0.000741437,	0.000079140,	2
addition cpu,	512,	0.000612448,	0.000064500,	4
addition cpu,	512,	0.000594052,	0.000029956,	8
addition cpu,	512,	0.000571375,	0.000011984,	16
addition cpu,	512,	0.000567057,	0.000010502,	32
addition cpu,	512,	0.000575999,	0.000033309,	64
addition cpu,	512,	0.000564206,	0.000021800,	128
addition cpu,	512,	0.000561490,	0.000026476,	256
addition cpu,	512,	0.000561212,	0.000021306,	512
addition cpu,	512,	0.000563847,	0.000026418,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	1024,	0.002756350,	0.000544694,	2
addition cpu,	1024,	0.002286174,	0.000048869,	4
addition cpu,	1024,	0.002230083,	0.000015603,	8
addition cpu,	1024,	0.002249163,	0.000038264,	16
addition cpu,	1024,	0.002242452,	0.000084841,	32
addition cpu,	1024,	0.002249137,	0.000073547,	64
addition cpu,	1024,	0.002248158,	0.000051897,	128
addition cpu,	1024,	0.002259240,	0.000064258,	256
