Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	64,	0.000469452,	0.000015465,	1024
M1: qr cpu,	64,	0.000468420,	0.000011932,	2048
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	128,	0.003687490,	0.000048330,	2
M1: qr cpu,	128,	0.003705811,	0.000023598,	4
M1: qr cpu,	128,	0.003700733,	0.000017745,	8
M1: qr cpu,	128,	0.003699963,	0.000028244,	16
M1: qr cpu,	128,	0.003703538,	0.000034423,	32
M1: qr cpu,	128,	0.003879974,	0.000150196,	64
M1: qr cpu,	128,	0.003907180,	0.000151817,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	256,	0.031984960,	0.001669902,	2
M1: qr cpu,	256,	0.030941620,	0.000986550,	4
M1: qr cpu,	256,	0.030253607,	0.000366201,	8
M1: qr cpu,	256,	0.030103426,	0.000156540,	16
M1: qr cpu,	256,	0.030149768,	0.000222777,	32
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	512,	0.283866553,	0.000073501,	2
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: qr cpu,	1024,	2.266839401,	0.001877888,	2
