Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	32,	0.000001835,	0.000000390,	4096
M1: addition cpu,	32,	0.000002009,	0.000000568,	8192
M1: addition cpu,	32,	0.000001833,	0.000000331,	16384
M1: addition cpu,	32,	0.000001942,	0.000000703,	32768
M1: addition cpu,	32,	0.000001992,	0.000000983,	65536
M1: addition cpu,	32,	0.000001897,	0.000000554,	131072
M1: addition cpu,	32,	0.000001872,	0.000000554,	262144
M1: addition cpu,	32,	0.000001884,	0.000000625,	524288
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	64,	0.000008280,	0.000001040,	2
M1: addition cpu,	64,	0.000007132,	0.000000018,	4
M1: addition cpu,	64,	0.000013746,	0.000017539,	8
M1: addition cpu,	64,	0.000007122,	0.000000028,	16
M1: addition cpu,	64,	0.000007494,	0.000001952,	32
M1: addition cpu,	64,	0.000007121,	0.000000042,	64
M1: addition cpu,	64,	0.000007315,	0.000000672,	128
M1: addition cpu,	64,	0.000007204,	0.000000123,	256
M1: addition cpu,	64,	0.000007188,	0.000000203,	512
M1: addition cpu,	64,	0.000007248,	0.000000404,	1024
M1: addition cpu,	64,	0.000007306,	0.000000783,	2048
M1: addition cpu,	64,	0.000007262,	0.000000358,	4096
M1: addition cpu,	64,	0.000007255,	0.000000440,	8192
M1: addition cpu,	64,	0.000007532,	0.000000818,	16384
M1: addition cpu,	64,	0.000007570,	0.000000883,	32768
M1: addition cpu,	64,	0.000007755,	0.000001911,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	128,	0.000033030,	0.000004580,	2
M1: addition cpu,	128,	0.000028627,	0.000000133,	4
M1: addition cpu,	128,	0.000028391,	0.000000058,	8
M1: addition cpu,	128,	0.000028462,	0.000000122,	16
M1: addition cpu,	128,	0.000028737,	0.000000713,	32
M1: addition cpu,	128,	0.000029596,	0.000007156,	64
M1: addition cpu,	128,	0.000028959,	0.000000681,	128
M1: addition cpu,	128,	0.000029155,	0.000001295,	256
M1: addition cpu,	128,	0.000029332,	0.000001457,	512
M1: addition cpu,	128,	0.000030846,	0.000006089,	1024
M1: addition cpu,	128,	0.000030487,	0.000002898,	2048
M1: addition cpu,	128,	0.000029935,	0.000003017,	4096
M1: addition cpu,	128,	0.000030580,	0.000003659,	8192
M1: addition cpu,	128,	0.000030172,	0.000003129,	16384
M1: addition cpu,	128,	0.000030190,	0.000003484,	32768
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	256,	0.000140744,	0.000015245,	2
M1: addition cpu,	256,	0.000113854,	0.000000102,	4
M1: addition cpu,	256,	0.000115275,	0.000002696,	8
M1: addition cpu,	256,	0.000116420,	0.000003678,	16
M1: addition cpu,	256,	0.000116679,	0.000004426,	32
M1: addition cpu,	256,	0.000117737,	0.000003870,	64
M1: addition cpu,	256,	0.000128205,	0.000016937,	128
M1: addition cpu,	256,	0.000126002,	0.000013820,	256
M1: addition cpu,	256,	0.000128089,	0.000015472,	512
M1: addition cpu,	256,	0.000125449,	0.000015377,	1024
M1: addition cpu,	256,	0.000121094,	0.000012633,	2048
M1: addition cpu,	256,	0.000120312,	0.000009914,	4096
M1: addition cpu,	256,	0.000120470,	0.000011819,	8192
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	512,	0.000553391,	0.000081284,	2
M1: addition cpu,	512,	0.000461194,	0.000002327,	4
M1: addition cpu,	512,	0.000459475,	0.000002759,	8
M1: addition cpu,	512,	0.000550844,	0.000046347,	16
M1: addition cpu,	512,	0.000518505,	0.000050493,	32
M1: addition cpu,	512,	0.000467336,	0.000006971,	64
M1: addition cpu,	512,	0.000472457,	0.000012819,	128
M1: addition cpu,	512,	0.000501824,	0.000057676,	256
M1: addition cpu,	512,	0.000483458,	0.000040728,	512
M1: addition cpu,	512,	0.000491659,	0.000043737,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition cpu,	1024,	0.002089584,	0.000233738,	2
M1: addition cpu,	1024,	0.002202755,	0.000154203,	4
M1: addition cpu,	1024,	0.002084489,	0.000189388,	8
M1: addition cpu,	1024,	0.002088763,	0.000257730,	16
M1: addition cpu,	1024,	0.001887920,	0.000033501,	32
M1: addition cpu,	1024,	0.001907333,	0.000114314,	64
M1: addition cpu,	1024,	0.001935612,	0.000159641,	128
M1: addition cpu,	1024,	0.001979880,	0.000175201,	256
