Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core,	512,	0.001157302,	0.000067148,	512
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core,	1024,	0.003244085,	0.000902683,	2
M1: addition gpu multi core,	1024,	0.002311572,	0.000035617,	4
M1: addition gpu multi core,	1024,	0.002365495,	0.000155088,	8
M1: addition gpu multi core,	1024,	0.002340088,	0.000146426,	16
M1: addition gpu multi core,	1024,	0.002343769,	0.000136302,	32
M1: addition gpu multi core,	1024,	0.002293397,	0.000133873,	64
M1: addition gpu multi core,	1024,	0.002288728,	0.000100045,	128
M1: addition gpu multi core,	1024,	0.002329371,	0.000115702,	256
