Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core 2,	2,	0.001436454,	0.000822549,	2
M1: addition gpu multi core 2,	2,	0.000537218,	0.000026723,	4
M1: addition gpu multi core 2,	2,	0.000593120,	0.000090311,	8
M1: addition gpu multi core 2,	2,	0.000511697,	0.000056001,	16
M1: addition gpu multi core 2,	2,	0.000516709,	0.000078876,	32
M1: addition gpu multi core 2,	2,	0.000526499,	0.000069952,	64
M1: addition gpu multi core 2,	2,	0.000517602,	0.000042306,	128
M1: addition gpu multi core 2,	2,	0.000522033,	0.000052202,	256
M1: addition gpu multi core 2,	2,	0.000532334,	0.000059695,	512
M1: addition gpu multi core 2,	2,	0.000492189,	0.000049762,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core 2,	4,	0.001345915,	0.000783269,	2
M1: addition gpu multi core 2,	4,	0.000556076,	0.000007841,	4
M1: addition gpu multi core 2,	4,	0.000549827,	0.000049559,	8
M1: addition gpu multi core 2,	4,	0.000554167,	0.000060140,	16
M1: addition gpu multi core 2,	4,	0.000518512,	0.000049936,	32
M1: addition gpu multi core 2,	4,	0.000525663,	0.000042497,	64
M1: addition gpu multi core 2,	4,	0.000514214,	0.000036478,	128
M1: addition gpu multi core 2,	4,	0.000524118,	0.000053922,	256
M1: addition gpu multi core 2,	4,	0.000513216,	0.000047312,	512
M1: addition gpu multi core 2,	4,	0.000503036,	0.000037947,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: addition gpu multi core 2,	8,	0.001465578,	0.000860603,	2
M1: addition gpu multi core 2,	8,	0.000549771,	0.000017969,	4
M1: addition gpu multi core 2,	8,	0.000531771,	0.000025647,	8
M1: addition gpu multi core 2,	8,	0.000541745,	0.000067448,	16
M1: addition gpu multi core 2,	8,	0.000511963,	0.000042489,	32
M1: addition gpu multi core 2,	8,	0.000500841,	0.000033591,	64
M1: addition gpu multi core 2,	8,	0.000492543,	0.000025585,	128
M1: addition gpu multi core 2,	8,	0.000496166,	0.000033319,	256
M1: addition gpu multi core 2,	8,	0.000497184,	0.000034098,	512
M1: addition gpu multi core 2,	8,	0.000502316,	0.000038124,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
