Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	256,	0.001325278,	0.000031459,	16
M1: multiplication gpu multi core unwrapping i,	256,	0.001343636,	0.000034529,	32
M1: multiplication gpu multi core unwrapping i,	256,	0.001352600,	0.000089172,	64
M1: multiplication gpu multi core unwrapping i,	256,	0.001330080,	0.000070985,	128
M1: multiplication gpu multi core unwrapping i,	256,	0.001306058,	0.000057421,	256
M1: multiplication gpu multi core unwrapping i,	256,	0.001315137,	0.000049938,	512
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	512,	0.006859370,	0.000884998,	2
M1: multiplication gpu multi core unwrapping i,	512,	0.005922681,	0.000029661,	4
M1: multiplication gpu multi core unwrapping i,	512,	0.005998443,	0.000052697,	8
M1: multiplication gpu multi core unwrapping i,	512,	0.005964814,	0.000043164,	16
M1: multiplication gpu multi core unwrapping i,	512,	0.006006143,	0.000090522,	32
M1: multiplication gpu multi core unwrapping i,	512,	0.005984938,	0.000063164,	64
M1: multiplication gpu multi core unwrapping i,	512,	0.005973361,	0.000065398,	128
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
M1: multiplication gpu multi core unwrapping i,	1024,	0.038791994,	0.000575025,	2
M1: multiplication gpu multi core unwrapping i,	1024,	0.037811127,	0.000198362,	4
M1: multiplication gpu multi core unwrapping i,	1024,	0.037844519,	0.000093047,	8
M1: multiplication gpu multi core unwrapping i,	1024,	0.037926496,	0.000192817,	16
