Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	512,	0.001608572,	0.000213145,	512
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition gpu multi core,	1024,	0.115442665,	0.111622194,	2
addition gpu multi core,	1024,	0.003835882,	0.000111047,	4
addition gpu multi core,	1024,	0.003613958,	0.000065095,	8
addition gpu multi core,	1024,	0.003589560,	0.000045847,	16
addition gpu multi core,	1024,	0.003631595,	0.000119527,	32
addition gpu multi core,	1024,	0.003735886,	0.000181341,	64
addition gpu multi core,	1024,	0.003583709,	0.000122255,	128
addition gpu multi core,	1024,	0.003614696,	0.000486087,	256
