Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	64,	0.000008902,	0.000000043,	32
addition cpu,	64,	0.000008453,	0.000000994,	64
addition cpu,	64,	0.000008466,	0.000000931,	128
addition cpu,	64,	0.000008706,	0.000003667,	256
addition cpu,	64,	0.000008567,	0.000002884,	512
addition cpu,	64,	0.000008331,	0.000000783,	1024
addition cpu,	64,	0.000008663,	0.000002348,	2048
addition cpu,	64,	0.000008479,	0.000001335,	4096
addition cpu,	64,	0.000008403,	0.000001007,	8192
addition cpu,	64,	0.000008469,	0.000001060,	16384
addition cpu,	64,	0.000008488,	0.000001341,	32768
addition cpu,	64,	0.000008587,	0.000001457,	65536
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	128,	0.000041885,	0.000008461,	2
addition cpu,	128,	0.000033654,	0.000000175,	4
addition cpu,	128,	0.000033881,	0.000000530,	8
addition cpu,	128,	0.000033588,	0.000000169,	16
addition cpu,	128,	0.000034401,	0.000002263,	32
addition cpu,	128,	0.000034854,	0.000003991,	64
addition cpu,	128,	0.000035381,	0.000004747,	128
addition cpu,	128,	0.000034019,	0.000001930,	256
addition cpu,	128,	0.000034029,	0.000002400,	512
addition cpu,	128,	0.000033725,	0.000002805,	1024
addition cpu,	128,	0.000033831,	0.000003281,	2048
addition cpu,	128,	0.000033418,	0.000002049,	4096
addition cpu,	128,	0.000034200,	0.000003569,	8192
addition cpu,	128,	0.000033581,	0.000002720,	16384
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	256,	0.000168755,	0.000032627,	2
addition cpu,	256,	0.000135166,	0.000000232,	4
addition cpu,	256,	0.000135334,	0.000000485,	8
addition cpu,	256,	0.000136712,	0.000005757,	16
addition cpu,	256,	0.000137541,	0.000002742,	32
addition cpu,	256,	0.000137312,	0.000004282,	64
addition cpu,	256,	0.000139717,	0.000009259,	128
addition cpu,	256,	0.000137957,	0.000003022,	256
addition cpu,	256,	0.000141634,	0.000009258,	512
addition cpu,	256,	0.000139992,	0.000008171,	1024
addition cpu,	256,	0.000139899,	0.000008545,	2048
addition cpu,	256,	0.000140776,	0.000007870,	4096
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
addition cpu,	512,	0.000825501,	0.000140541,	2
addition cpu,	512,	0.000573142,	0.000008598,	4
addition cpu,	512,	0.000556800,	0.000002345,	8
addition cpu,	512,	0.000570613,	0.000011899,	16
addition cpu,	512,	0.000647381,	0.000147759,	32
addition cpu,	512,	0.000594235,	0.000100336,	64
addition cpu,	512,	0.000560969,	0.000022988,	128
addition cpu,	512,	0.000559872,	0.000023529,	256
addition cpu,	512,	0.000558804,	0.000022566,	512
addition cpu,	512,	0.000556891,	0.000021763,	1024
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
2d addition cpu,	2,	0.000000195,	0.000000104,	2
2d addition cpu,	2,	0.000000050,	0.000000005,	4
2d addition cpu,	2,	0.000000044,	0.000000010,	8
2d addition cpu,	2,	0.000000049,	0.000000006,	16
2d addition cpu,	2,	0.000000054,	0.000000008,	32
2d addition cpu,	2,	0.000000051,	0.000000002,	64
2d addition cpu,	2,	0.000000050,	0.000000003,	128
2d addition cpu,	2,	0.000000045,	0.000000007,	256
2d addition cpu,	2,	0.000000051,	0.000000003,	512
2d addition cpu,	2,	0.000000052,	0.000000003,	1024
2d addition cpu,	2,	0.000000056,	0.000000019,	2048
2d addition cpu,	2,	0.000000050,	0.000000003,	4096
2d addition cpu,	2,	0.000000050,	0.000000004,	8192
2d addition cpu,	2,	0.000000046,	0.000000007,	16384
2d addition cpu,	2,	0.000000049,	0.000000006,	32768
2d addition cpu,	2,	0.000000051,	0.000000004,	65536
2d addition cpu,	2,	0.000000049,	0.000000004,	131072
2d addition cpu,	2,	0.000000046,	0.000000008,	262144
2d addition cpu,	2,	0.000000044,	0.000000009,	524288
2d addition cpu,	2,	0.000000041,	0.000000008,	1048576
2d addition cpu,	2,	0.000000040,	0.000000008,	2097152
2d addition cpu,	2,	0.000000041,	0.000000008,	4194304
2d addition cpu,	2,	0.000000040,	0.000000008,	8388608
2d addition cpu,	2,	0.000000039,	0.000000008,	16777216
Algorithm,	Dimensions,	Mean,	Standard Deviation,	Iterations
